created_at,id,text,user,source,hashtags
Mon Mar 05 23:50:44 +0000 2018,970808864550473728,Please RT #health #fitness 7 Words That Helped Me Establish Boundaries https://t.co/HxLeWiji46,healthfitnessb4,"<a href=""https://www.healthfitnessb4.com"" rel=""nofollow"">healthfitnessb4</a>","['health', 'fitness']"
Mon Mar 05 23:50:43 +0000 2018,970808858942820353,Please RT #health #fitness Weekend reading: Michaela DeSoucey?s Contested Tastes?Foie Gras! https://t.co/A1jBV9RpNB https://t.co/jn4RTifTfW,healthyyfi,"<a href=""https://www.healthyyfi.com"" rel=""nofollow"">healthyyfi</a>","['health', 'fitness']"
Mon Mar 05 23:50:40 +0000 2018,970808845210701825,Please RT #health #fitness Special Easter Video: Chocolate Orange Bar with Clementines https://t.co/LIaSLG7GFA https://t.co/H3wA68s5aL,feelhealthyy,"<a href=""https://www.feelhealthyy.com"" rel=""nofollow"">feelhealthyy</a>","['health', 'fitness']"
Mon Mar 05 23:50:35 +0000 2018,970808827716268032,Please RT #health #fitness Spring Celebration Salad https://t.co/gkos1FWcqm,HealthhFitnss,"<a href=""https://laquesea.com"" rel=""nofollow"">HealthhFitnss</a>","['health', 'fitness']"
Mon Mar 05 23:50:34 +0000 2018,970808823035375621,Please RT #health #fitness What Women Should Eat to Build Muscle https://t.co/aVvKfNn0Ef https://t.co/6fBIjYVIzN,FitnesssAmazing,"<a href=""https://laquesea.com"" rel=""nofollow"">FitnesssAmazing</a>","['health', 'fitness']"
Mon Mar 05 23:50:31 +0000 2018,970808810511241216,Please RT #health #fitness 7 Things to Remember When You Think You?re Not Good Enough https://t.co/RydlGPXEHx https://t.co/V9kUtaL2sK,fitttLifee,"<a href=""https://laquesea.com"" rel=""nofollow"">fitttLifee</a>","['health', 'fitness']"
Mon Mar 05 23:50:28 +0000 2018,970808795965394944,Please RT #health #fitness Reports about sustainable and local farming: one after another https://t.co/i31GkmH8vt https://t.co/UIlaAkp09S,HealthhyLifee,"<a href=""https://laquesea.com"" rel=""nofollow"">HealthhyLifee</a>","['health', 'fitness']"
Mon Mar 05 23:50:25 +0000 2018,970808783273373698,Please RT #health #fitness Roasted Two-Potato Salad with Honey Mustard Vinaigrette https://t.co/hrBx4KumKs https://t.co/AJS0o58Lsv,thehealthinsigh,"<a href=""http://healthfitnesstrends.net"" rel=""nofollow"">tweets healthfitnesstrends.net</a>","['health', 'fitness']"
Mon Mar 05 23:50:19 +0000 2018,970808757709131776,Try these Breath-IN Nasal Strips! Just clean your nose before placing it on at night so it will stick and breath ea… https://t.co/TMNfxWUa1L,Lewis2ash,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[]
Mon Mar 05 23:50:13 +0000 2018,970808735462457344,"Hypertension is the ""Silent Killer"".  Measure Your Blood Pressure Often #healthyheart #hypertention #Afib #health https://t.co/oplPjcbeNh",MarkAndDallas,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","['healthyheart', 'hypertention', 'Afib', 'health']"
Mon Mar 05 23:50:08 +0000 2018,970808713442398208,Please RT #health #fitness Chard Quiche with Almond Crust https://t.co/hvfcs72NNk https://t.co/1thZ3eIbCc,_healthfitness4,"<a href=""http://healthfitnesstrends.net/"" rel=""nofollow"">_healthfitness4-segui</a>","['health', 'fitness']"
Mon Mar 05 23:50:08 +0000 2018,970808712905609218,Dispensing #drugs is not all that we do; we also provide Medication Therapy Management #MTM to improve patient’s… https://t.co/qQRwC0GjIo,novascripts,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['drugs', 'MTM']"
Mon Mar 05 23:50:00 +0000 2018,970808679326011394,Great piece on our @dcatrakilis in todays @Independent https://t.co/g74MHY8nb0 #Inspired #Resilience #Class #Return… https://t.co/Z015x16ySS,TDB_Sports,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Inspired', 'Resilience', 'Class', 'Return']"
Mon Mar 05 23:49:50 +0000 2018,970808638079098880,8 Reasons to Add This #Spice To Your #Diet! #health #healthy https://t.co/MDIpUHjppv #retireyourway https://t.co/GTadTfv7gc,the50plusnetwrk,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","['Spice', 'Diet', 'health', 'healthy', 'retireyourway']"
Mon Mar 05 23:49:46 +0000 2018,970808621436211201,Sleep with the lights on #BadHygieneTips #sleep #Health #GoodThingsForLife https://t.co/rOysPuGMtY,drhamiltonstubb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['BadHygieneTips', 'sleep', 'Health', 'GoodThingsForLife']"
Mon Mar 05 23:49:45 +0000 2018,970808617472544768,"Man, Im SO HAPPY with my #HealthyLifestyle I ENJOY being #Pescovegetarian 🙌🏻🙏🏻 
#Pescovegetarian since November 201… https://t.co/Q6d3IRZKsb",DebbieBertrand,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['HealthyLifestyle', 'Pescovegetarian', 'Pescovegetarian']"
Mon Mar 05 23:49:41 +0000 2018,970808599441215491,It's tough to eat right and follow a diet when you're working so hard! Good thing #HealthTech exist!… https://t.co/vlHfrEsq9K,wolf_search,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",['HealthTech']
Mon Mar 05 23:48:39 +0000 2018,970808340522717185,Just finished week 3 day 2 of #C25K® on #Android with @c25kfree! #everymomentcounts #run #running #health #fitness #workout,rajwible,"<a href=""http://www.c25kfree.com"" rel=""nofollow"">Couch to 5k - #1 Free C25K App</a>","['C25K', 'Android', 'everymomentcounts', 'run', 'running', 'health', 'fitness', 'workout']"
Mon Mar 05 23:48:21 +0000 2018,970808265306136576,These companies created a lead paint crisis—and refuse to clean it up #health #pollution  https://t.co/ML9ebDsgbI via @MotherJones,suzlette333,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'pollution']"
Mon Mar 05 23:48:19 +0000 2018,970808256150065153,https://t.co/8XTeCzqp9n https://t.co/0v1tGb74fd Be positive with your health and wealth. #health #fitness #fit… https://t.co/OE80s4LzFo,tirolith,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","['health', 'fitness', 'fit']"
Mon Mar 05 23:48:13 +0000 2018,970808228610215937,Heads up: Your daily routine may be holding you back and you don’t even know it. https://t.co/EMlZD5ZNnN via @TheScope #health #wellness,AmyAComm,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'wellness']"
Mon Mar 05 23:48:05 +0000 2018,970808197891215361,Research shows moderate levels of #laughter is beneficial for #health https://t.co/QcPagwZglO,relmi,"<a href=""http://coschedule.com"" rel=""nofollow"">CoSchedule</a>","['laughter', 'health']"
Mon Mar 05 23:48:02 +0000 2018,970808183705845760,"——————————————
☄️
☄️
☄️
☄️
☄️
💪🏼
👍🏼
👊🏼
#health #fitness #fit #fitnessmodel #fitspo #workout… https://t.co/ozzCm3dwF9",TBONEPROTRAINER,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['health', 'fitness', 'fit', 'fitnessmodel', 'fitspo', 'workout']"
Mon Mar 05 23:47:57 +0000 2018,970808161333542913,A good read on how to make some big life improvements with simple changes.  https://t.co/0kTSNVhEEo… https://t.co/NanUnVyhHz,nunn_jonathan,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
Mon Mar 05 23:47:51 +0000 2018,970808137782456320,Check this out: #Infographic: How consumer #telehealth breaks down for a big #health system https://t.co/NNwIsf9aCF,jzotto,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Infographic', 'telehealth', 'health']"
Mon Mar 05 23:47:22 +0000 2018,970808014461718529,Get Hooked On Okra! #food #health #weightloss https://t.co/CtFCeeR9om,healthywithgod,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","['food', 'health', 'weightloss']"
Mon Mar 05 23:47:12 +0000 2018,970807972958998528,#health #beauty Buy Now: $70 Retro Multicolored Resin Boar Shave Brush. 27 x 57 mm Knot. Made in Italy. B26… https://t.co/wpQIZFSMNz,health_anbeauty,"<a href=""https://www.postpilot.net/twitterapps/autotweetpal/"" rel=""nofollow"">AutoTweetPal</a>","['health', 'beauty']"
Mon Mar 05 23:47:07 +0000 2018,970807952197087232,Glass walls and headaches at Apple Park https://t.co/mK87Okq2IF #health https://t.co/OKAB1gqpva,JacquelineHWrit,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",['health']
Mon Mar 05 23:47:04 +0000 2018,970807942734757888,Just finished week 5 day 1 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness,JGAllen794,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['C25K', 'everymomentcounts', 'run', 'running', 'health', 'fitness']"
Mon Mar 05 23:47:02 +0000 2018,970807932362412037,#health #fitness #30daychallenge #diet #lbxfitness #women #gym #weightlosstransformation #abs #motivation #success… https://t.co/BAlJlB8Rly,lbxfitness,"<a href=""http://socialbee.io/"" rel=""nofollow"">SocialBee.io</a>","['health', 'fitness', '30daychallenge', 'diet', 'lbxfitness', 'women', 'gym', 'weightlosstransformation', 'abs', 'motivation', 'success']"
Mon Mar 05 23:47:02 +0000 2018,970807931091419139,#health #fitness #30daychallenge #diet #lbxfitness #women #gym #weightlosstransformation #abs #motivation #success… https://t.co/wowmU7eSPF,zhiviaga,"<a href=""http://socialbee.io/"" rel=""nofollow"">SocialBee.io</a>","['health', 'fitness', '30daychallenge', 'diet', 'lbxfitness', 'women', 'gym', 'weightlosstransformation', 'abs', 'motivation', 'success']"
Mon Mar 05 23:47:02 +0000 2018,970807930600730626,Hoodia Herb &amp; its #health and wellness Benefits - https://t.co/4vDWShi0Ow &lt;&lt;==,healthvideoorg,"<a href=""http://healthvideo.org"" rel=""nofollow"">App - Twittmate genial</a>",['health']
Mon Mar 05 23:46:54 +0000 2018,970807898233225216,Research on the agreement re: the radiographical diagnosis of canine cranial cruciate ligament rupture… https://t.co/5Jw5T7466N,AnimalRehabNews,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[]
Mon Mar 05 23:46:27 +0000 2018,970807786484436992,Immune System Vitamins Facts You'll Want to Listen to If you are looking to bolster your i https://t.co/hrqLqIkbTt #health @TopFeedsNewss,EzArticleBoard,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>",['health']
Mon Mar 05 23:46:26 +0000 2018,970807782290214912,"@FactSoup #Health  #OverallHealth #Facts  #Information #Knowledge #FeelGoodHormones

Great Point! Crying releases t… https://t.co/MNCrjNFsX8",Kelly1Kristina,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Health', 'OverallHealth', 'Facts', 'Information', 'Knowledge', 'FeelGoodHormones']"
Mon Mar 05 23:46:02 +0000 2018,970807680955764736,#NowPlaying #Health Smart Drug Smarts 219 Aphantasia With Dr. Joel Pearson -   *ON NEXT 12:00am UK:  The Bradcast #TalkRadio,DeprogRadio,"<a href=""http://www.deprogrammedradio.com/"" rel=""nofollow"">Deprogrammed Radio - Now Playing</a>","['NowPlaying', 'Health', 'TalkRadio']"
Mon Mar 05 23:45:48 +0000 2018,970807620545204225,"Don't wait for a perfect moment, take a moment and make it perfect!
#life #MondayMotivation #Inspire #opportunity… https://t.co/e2MIucoeSK",thordsonerick,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['life', 'MondayMotivation', 'Inspire', 'opportunity']"
Mon Mar 05 23:45:19 +0000 2018,970807499745095680,The #goat with the #cloak  #wavy from #birth 😂 #health &amp; #fitness pay attention #bodygoals #2018 https://t.co/utLleXvx1k,Nikko_London,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['goat', 'cloak', 'wavy', 'birth', 'health', 'fitness', 'bodygoals']"
Mon Mar 05 23:45:12 +0000 2018,970807472796598273,Working out isn’t easy. Create a music playlist that makes you push yourself to the next level. #Health #Fitness https://t.co/5fvL2CnJbH,MarinerWealth,"<a href=""http://hearsaysocial.com"" rel=""nofollow"">Hearsay Social</a>","['Health', 'Fitness']"
Mon Mar 05 23:45:10 +0000 2018,970807464584253440,Find out how brand marketers can engage Clinicoin’s wellness-oriented community to expand their consumer base… https://t.co/EA9M7DA3nz,clinicoin,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[]
Mon Mar 05 23:45:10 +0000 2018,970807461073620992,Watch a #video on the story of Premium Organic #Noni. https://t.co/IvJUzbbzD7 Watch to see how noni will benefit your #health.,EngLifestyles,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['video', 'Noni', 'health']"
Mon Mar 05 23:45:09 +0000 2018,970807460129857536,As business owners work long hours!  Don’t forget to take care of yourself. #Health #SmallBusiness... https://t.co/tYo1Xp5rr2,SmalIBizCoaches,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['Health', 'SmallBusiness']"
Mon Mar 05 23:45:07 +0000 2018,970807451682471937,PET FOOD RECALL ALERT: Blue Ridge Beef recalls contaminated lot of Kitten Grind raw pet food after two kittens repo… https://t.co/75VcAslbYR,WCCBCharlotte,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[]
Mon Mar 05 23:45:03 +0000 2018,970807432606777345,"In the future, companies from every sector will develop products to improve #health. At #HIMSS18, we're ready to ex… https://t.co/WOh4wnA3FS",EY_Healthcare,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","['health', 'HIMSS18']"
