created_at,id,text,user,source,hashtags
Sat Mar 03 23:30:21 +0000 2018,970078956320849920,This one simple gesture could change your life https://t.co/xYTQbrycVw #EmbracingMyself #Blog #Blogger… https://t.co/5pAesJe1Sa,LauriDMeizler,"<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>","['EmbracingMyself', 'Blog', 'Blogger']"
Sat Mar 03 23:05:08 +0000 2018,970072611924430849,"RT @BethFratesMD: Kindness is key.

#FridayFeeling #Kindness #LovingKindness #KindnessMatters #Compassion #Empathy https://t.co/jmzGpwBAvT",JessicaFoXX_NYC,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","['FridayFeeling', 'Kindness', 'LovingKindness', 'KindnessMatters', 'Compassion', 'Empathy']"
Sat Mar 03 22:54:07 +0000 2018,970069839560790016,"RT @BethFratesMD: Like sunshine to the flower, speak so that people open up and listen so that they can blossom. 
#LovingKindness #Kindness…",Armando_Ribeiro,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['LovingKindness', 'Kindness']"
Sat Mar 03 22:49:03 +0000 2018,970068564874006528,RT @BethFratesMD: How you talk to yourself actually has an impact on how you talk to others. #selftalk #LovingKindness #Kindness #Compassio…,misselegance9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['selftalk', 'LovingKindness', 'Kindness']"
Sat Mar 03 22:44:23 +0000 2018,970067391555174400,"RT @BethFratesMD: Kindness is key.

#FridayFeeling #Kindness #LovingKindness #KindnessMatters #Compassion #Empathy https://t.co/jmzGpwBAvT",macpherson690,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['FridayFeeling', 'Kindness', 'LovingKindness', 'KindnessMatters', 'Compassion', 'Empathy']"
Sat Mar 03 22:42:12 +0000 2018,970066842353102848,"RT @BethFratesMD: Kindness is key.

#FridayFeeling #Kindness #LovingKindness #KindnessMatters #Compassion #Empathy https://t.co/jmzGpwBAvT",LCoytinho,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['FridayFeeling', 'Kindness', 'LovingKindness', 'KindnessMatters', 'Compassion', 'Empathy']"
Sat Mar 03 22:37:24 +0000 2018,970065633814736903,RT @KuttAndrew: How you talk to yourself actually has an impact on how you talk to others. #selftalk #LovingKindness #Kindness #Compassion…,LetsMontessori,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","['selftalk', 'LovingKindness', 'Kindness', 'Compassion']"
Sat Mar 03 22:17:10 +0000 2018,970060541145309189,"RT @BethFratesMD: Like sunshine to the flower, speak so that people open up and listen so that they can blossom. 
#LovingKindness #Kindness…",MaraMaia08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['LovingKindness', 'Kindness']"
Sat Mar 03 22:03:09 +0000 2018,970057014733950976,"When we are our authentic selves, we can inspire others and bring out the best in them so that their true colors sh… https://t.co/2Tb7JuSfhw",BethFratesMD,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[]
Sat Mar 03 21:54:11 +0000 2018,970054757187444736,RT @BethFratesMD: How you talk to yourself actually has an impact on how you talk to others. #selftalk #LovingKindness #Kindness #Compassio…,ThePinataTheory,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['selftalk', 'LovingKindness', 'Kindness']"
Sat Mar 03 21:12:58 +0000 2018,970044382853378049,"RT @havingtime: May you be #well.
May you be #happy.
May you be #free from suffering.

#lovingkindness #mindfulness 😌 https://t.co/n9AsIHyp…",breathemakedo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['well', 'happy', 'free', 'lovingkindness', 'mindfulness']"
Sat Mar 03 21:10:24 +0000 2018,970043738377609217,"RT @BethFratesMD: Kindness is key.

#FridayFeeling #Kindness #LovingKindness #KindnessMatters #Compassion #Empathy https://t.co/jmzGpwBAvT",joey34103,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['FridayFeeling', 'Kindness', 'LovingKindness', 'KindnessMatters', 'Compassion', 'Empathy']"
