created_at,id,text,user,source,hashtags
Tue Mar 06 23:01:01 +0000 2018,971158740241141761,"Meet Dr. Nunley.  
(https://t.co/qxI7yaMCrk)   

#Texas #NewBraunfels #Wellness https://t.co/5xNj8qB50T",AmandaNunley_MD,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['Texas', 'NewBraunfels', 'Wellness']"
Tue Mar 06 22:42:00 +0000 2018,971153954234163208,#Nature #LoveNature #Wellness #Quote https://t.co/NqNXL3QnpG,yychealthnut,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","['Nature', 'LoveNature', 'Wellness', 'Quote']"
Tue Mar 06 22:41:33 +0000 2018,971153841591693313,#Sunrider #SunriderInternational #sr #health #healthyliving #healthandwellness #wellness #healthychoices… https://t.co/xB6OtH8Ni2,sunrider,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Sunrider', 'SunriderInternational', 'sr', 'health', 'healthyliving', 'healthandwellness', 'wellness', 'healthychoices']"
Tue Mar 06 22:40:52 +0000 2018,971153667469578240,#coaching #mentoring #lifestyle #inspirational #relationships #business #businesscoaching #positivity #growth… https://t.co/qL4mzmzuoT,jazminewolf7,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","['coaching', 'mentoring', 'lifestyle', 'inspirational', 'relationships', 'business', 'businesscoaching', 'positivity', 'growth']"
Tue Mar 06 22:39:09 +0000 2018,971153236408315908,#femininehygiene #periodshappen #womenshealth #period #wellness #care #likeagirl #confidence… https://t.co/4Rx6dMT6eQ,beholdnatural,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['femininehygiene', 'periodshappen', 'womenshealth', 'period', 'wellness', 'care', 'likeagirl', 'confidence']"
Tue Mar 06 22:36:30 +0000 2018,971152568196960256,#wellness via https://t.co/Rvz4DK2gEw https://t.co/2dIF5WSlON,paigepadgett,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",['wellness']
Tue Mar 06 22:32:46 +0000 2018,971151632019984384,#health #fitness #workingout #cooking #politics #LawAndOrder #swimming #spinning #nutrition #recipe #wellness… https://t.co/NICZa3ZewE,zeeer04,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'fitness', 'workingout', 'cooking', 'politics', 'LawAndOrder', 'swimming', 'spinning', 'nutrition', 'recipe', 'wellness']"
Tue Mar 06 22:30:14 +0000 2018,971150993537806336,#TuesdayTip #Nutrition #Wellness https://t.co/YU4tNm8ygY,christineavanti,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","['TuesdayTip', 'Nutrition', 'Wellness']"
Tue Mar 06 22:25:55 +0000 2018,971149905472389120,"Neroli makes me... HAPPY!
🌱To get started using oils with Mónica, click below. 
💧Para começar a usar óleos essencia… https://t.co/vNysz5o4K8",evolutionmaker,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[]
Tue Mar 06 22:05:11 +0000 2018,971144689826050049,https://t.co/KBsAEjdIBW #mentalhealth #MensHealth #mentalillness #MentalHealthAwareness #wellness #YouHelpMeIHelpYou,YouHelpMeIHelp1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['mentalhealth', 'MensHealth', 'mentalillness', 'MentalHealthAwareness', 'wellness', 'YouHelpMeIHelpYou']"
Tue Mar 06 22:00:41 +0000 2018,971143555984121856,#TuesdayTrivia #Yoga #Meditation #Health #Wellness https://t.co/lxpUu84lay,SukhiYoga,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['TuesdayTrivia', 'Yoga', 'Meditation', 'Health', 'Wellness']"
Tue Mar 06 21:53:03 +0000 2018,971141636062433280,Inizia il tuo percorso di crescita personale e consapevolezza con il #PilatesEmozionale. ❤️ #pilates #fitness… https://t.co/CRrfRDRM17,PEmozionale,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['PilatesEmozionale', 'pilates', 'fitness']"
Tue Mar 06 21:51:12 +0000 2018,971141168535715840,#wellness #Wellbeing https://t.co/TDvSiv4qGg,ingebirds,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['wellness', 'Wellbeing']"
Tue Mar 06 21:39:16 +0000 2018,971138164722151425,"Acqua Lisboa City SPA 😍🥥🤸‍♀️

#choosethemoon #spa #Relax #Relaxation #Unwind #Escape #Wellness #SpaDay #Bubbles… https://t.co/32GqsNufrI",choosethemoon,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['choosethemoon', 'spa', 'Relax', 'Relaxation', 'Unwind', 'Escape', 'Wellness', 'SpaDay', 'Bubbles']"
Tue Mar 06 21:25:24 +0000 2018,971134675258257409,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/wECmbwqIFN,JeannettePTSDbp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 21:21:46 +0000 2018,971133762997235712,#Refleksoterapia czyli jak możesz uwolnić swoje stopy po ciężkim dniu https://t.co/iarJlylDw1 #foots #COSMETICS… https://t.co/8OGmJkybHC,TylkoStyl,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Refleksoterapia', 'foots', 'COSMETICS']"
Tue Mar 06 21:21:00 +0000 2018,971133568285016065,"#Angebot #Frühlingserwachen #wellness #mellishaarstudio
Das Angebot geht bis 27.4.2018¡ https://t.co/zFHddXreU6",JumpingMelli,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Angebot', 'Frühlingserwachen', 'wellness', 'mellishaarstudio']"
Tue Mar 06 21:18:18 +0000 2018,971132891714539520,☀️☀️☀️Wieder zu Hause 💪🏻💪🏻💪🏻Orrr..das war schön...wir haben ganz schön geschwitzt in der Sauna..dann gab es lecker… https://t.co/sqH8fXo3sx,Gluex_Keks,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
Tue Mar 06 21:15:16 +0000 2018,971132128296611840,#HeartHealth #HearthHealthyLiving #Wellness #LiveBetter #TuesdayTransformation https://t.co/ijdD2sO3bn,lesliepepper,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['HeartHealth', 'HearthHealthyLiving', 'Wellness', 'LiveBetter', 'TuesdayTransformation']"
Tue Mar 06 21:13:58 +0000 2018,971131798158704640,#arbonneessentials #arbonneuk #skincare #makeup #makeupideas #lovemakeup #makeuptutorial #everydaymakeup #base… https://t.co/WkgYE2rLaR,garland_lily,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['arbonneessentials', 'arbonneuk', 'skincare', 'makeup', 'makeupideas', 'lovemakeup', 'makeuptutorial', 'everydaymakeup', 'base']"
Tue Mar 06 21:03:51 +0000 2018,971129253059284993,"Piccoli oggetti, ma con grande significato 😍 #sorprese #playhard #wellness #me #smile #instafit… https://t.co/ZAQBhZiiEs",corsalec,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['sorprese', 'playhard', 'wellness', 'me', 'smile', 'instafit']"
Tue Mar 06 21:02:06 +0000 2018,971128814179844096,"Photo By Koll Hoffmann | Unsplash - via @Crowdfire  
 #healthyeating #wellness https://t.co/c5jgmraXGf",ChoppGeladoRJ,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","['healthyeating', 'wellness']"
Tue Mar 06 21:00:37 +0000 2018,971128441109123074,"Capacitate en #WELLNESS| Cursos, Instructorados y Certificaciones 
Inscripción Abierta en #Amici San Martín 1376, R… https://t.co/giOCzOH4Pt",AmiciRosario,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['WELLNESS', 'Amici']"
Tue Mar 06 20:58:26 +0000 2018,971127892720672769,"Lauschen, genießen, entspannen: ZEN-Massage- https://t.co/PP9V6KNAWj #beautyguide #geheimtipp #locationdesmonats #wellness #Wellness #Reise",WellSpaPortal,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","['beautyguide', 'geheimtipp', 'locationdesmonats', 'wellness', 'Wellness', 'Reise']"
Tue Mar 06 20:56:24 +0000 2018,971127380424216576,"Eerst en vooral, perfectie bestaat niet. Iedereen heeft wel een minpuntje. Maar wees je wel bewust van de gevaren e… https://t.co/KO4y2GrUjM",sauna_prive,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[]
Tue Mar 06 20:54:49 +0000 2018,971126981235527681,"#brain #Healing #Foods : #walnuts, #coconut, #avocado, #salmon, #bonebroth &amp; #olives. #health #wellness #nutrition… https://t.co/nmsDjm8klp",chaseitstraigh8,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['brain', 'Healing', 'Foods', 'walnuts', 'coconut', 'avocado', 'salmon', 'bonebroth', 'olives', 'health', 'wellness', 'nutrition']"
Tue Mar 06 20:39:29 +0000 2018,971123123083927552,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/ygj5nEaxTk,JeannettePTSDbp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 20:38:47 +0000 2018,971122946730160128,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/HIFO646gyZ,JeannettePTSDbp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 20:38:36 +0000 2018,971122901289132032,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/JTo5pwGgXU,JeannettePTSDbp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 20:37:32 +0000 2018,971122630433456128,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/pTh5k45Ifb,jeannettewhalen,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 20:37:13 +0000 2018,971122553442807808,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/AumODSzeml,jeannettewhalen,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 20:37:02 +0000 2018,971122506940624899,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/4T9IWbajw0,jeannettewhalen,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 20:30:51 +0000 2018,971120950568734720,#CBD #CBD Oil #HempOil #hemp #wellness #lotstodo #happiness #resteasy #behappy #veterans #florida #healthy #workout… https://t.co/NwU5JbpNzK,ec_hemp,"<a href=""http://www.ripl.com"" rel=""nofollow"">Ripl App</a>","['CBD', 'CBD', 'HempOil', 'hemp', 'wellness', 'lotstodo', 'happiness', 'resteasy', 'behappy', 'veterans', 'florida', 'healthy', 'workout']"
Tue Mar 06 20:30:21 +0000 2018,971120821581295618,https://t.co/wqECBBQfy2 #nutrition #health #diet #weightloss #food #fitness #fatloss #exercise #healthy #workout… https://t.co/ApcpviOnXP,getyourfixpt,"<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>","['nutrition', 'health', 'diet', 'weightloss', 'food', 'fitness', 'fatloss', 'exercise', 'healthy', 'workout']"
Tue Mar 06 20:21:25 +0000 2018,971118573853831169,Secure routines pertaining to #greater #wellness. oral sex kaise karte hai https://t.co/91ReP9X4R5,qexenykelp,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","['greater', 'wellness']"
Tue Mar 06 20:11:29 +0000 2018,971116075340492802,#Mendoza 😍😍😍 #Enoturismo #AméricaLatina #wellness https://t.co/uV5d0CdG16,camaradeturismo,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Mendoza', 'Enoturismo', 'AméricaLatina', 'wellness']"
Tue Mar 06 20:00:31 +0000 2018,971113316054482944,@Dezzy_BadAss https://t.co/tEbndf75BX #chiropractor #wellness,MillionaireChi2,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['chiropractor', 'wellness']"
Tue Mar 06 19:53:47 +0000 2018,971111619676790790,"Die #SHKESSEN2018 ist gestartet! Kommt vorbei in Halle 10, Stand 10B08 #shk #SHKEssen #Messestand #Bad #Wellness… https://t.co/hSwvxpwbgz",VilleroyandBoch,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['SHKESSEN2018', 'shk', 'SHKEssen', 'Messestand', 'Bad', 'Wellness']"
Tue Mar 06 19:46:21 +0000 2018,971109748732055553,"Ausgezeichneten Wellnesshotels der 4-5 Sterne Kategorie aus Bayern entdecken! 

Auf: https://t.co/nMGZVFA5Kw… https://t.co/rgOQgVlCiQ",WellnesshotBay,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
Tue Mar 06 19:41:50 +0000 2018,971108612214001664,"En #Suède, des #entreprises rendent le #sport obligatoire pour leurs #employés #wellness #bienetre… https://t.co/9uVk5yHgG2",ianbradac,"<a href=""http://app.sociabble.com"" rel=""nofollow"">SociabbleApp</a>","['Suède', 'entreprises', 'sport', 'employés', 'wellness', 'bienetre']"
Tue Mar 06 19:40:12 +0000 2018,971108202107588608,"Du fühlst Dich gestresst? Tolle Wellnessurlaube gibt es übrigens auch bei uns: https://t.co/cwn1WGr5gi 
#wellness… https://t.co/zkKZMSX5Zv",monsterzeug,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",['wellness']
Tue Mar 06 19:36:47 +0000 2018,971107343424421889,"#nails #share #liver #health
#wellness
#jaundice https://t.co/wEaXtQCxyN",TheAdventist101,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['nails', 'share', 'liver', 'health', 'wellness', 'jaundice']"
Tue Mar 06 19:19:37 +0000 2018,971103024109293569,#Play #NeverGrowUp #Health #Wellness  https://t.co/lIGHuWS8gl,rogue_med,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Play', 'NeverGrowUp', 'Health', 'Wellness']"
Tue Mar 06 19:05:07 +0000 2018,971099374221709312,#health #selflove #healthyliving #mindfulness #selfcare #choose360 #360living #wellness #wellnessforlife… https://t.co/IeP7e3m02K,360LivingToday,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['health', 'selflove', 'healthyliving', 'mindfulness', 'selfcare', 'choose360', '360living', 'wellness', 'wellnessforlife']"
Tue Mar 06 19:05:02 +0000 2018,971099353124352003,#Fitness #FitnessGoals #FitnessMotivation #Healthy #HealthyNation #WeightLoss #Diet #Wellness #Nutrition #HealthClub https://t.co/fxkzUD6mK9,SevinityWell,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Fitness', 'FitnessGoals', 'FitnessMotivation', 'Healthy', 'HealthyNation', 'WeightLoss', 'Diet', 'Wellness', 'Nutrition', 'HealthClub']"
Tue Mar 06 19:04:55 +0000 2018,971099322724093952,"#estilodevidasaludable #coachenhabitos #tribuhábitos #wellness #mindfulness 
Un hábito hermoso y… https://t.co/ZHn4IEacxg",RevivirNatural,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['estilodevidasaludable', 'coachenhabitos', 'tribuhábitos', 'wellness', 'mindfulness']"
Tue Mar 06 19:01:15 +0000 2018,971098399591337985,#diet #wellness via @Lean4Lifetime https://t.co/xmNnOA4SbQ,coffeighwithk,"<a href=""https://smarterqueue.com"" rel=""nofollow"">SmarterQueue</a>","['diet', 'wellness']"
Tue Mar 06 18:47:39 +0000 2018,971094980101132291,"#StrokeSupport  #Caregivers #wellness @CatLoversLDN 
#nurses @Gilfeather https://t.co/dEPJC2EOXg",Gilfeather,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","['StrokeSupport', 'Caregivers', 'wellness', 'nurses']"
Tue Mar 06 18:46:09 +0000 2018,971094602143772672,On s'amuse à la patinoire en Mieux-être 10 aujourd'hui @campbelltartans #patinage #wellness #StayActive https://t.co/cSDLznsk8L,CampbellFrYQR,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['patinage', 'wellness', 'StayActive']"
Tue Mar 06 18:33:51 +0000 2018,971091503119466498,#aromatherapy  #wellness 140ML Ultrasonic Humidifier | USB Car Humidifier | M ... https://t.co/omfa61Crsw,DiffuserSupport,"<a href=""https://diffuserhumidifierstore.com/"" rel=""nofollow"">Diffuser Humidifier</a>","['aromatherapy', 'wellness']"
Tue Mar 06 18:23:31 +0000 2018,971088904232361985,#hudsonvalley #orangecounty #life #Makeadifference #cannawetalk #repeal #decriminalize #reschedule… https://t.co/QUVEoldaWg,cannawetalk42o,"<a href=""http://www.ripl.com"" rel=""nofollow"">Ripl App</a>","['hudsonvalley', 'orangecounty', 'life', 'Makeadifference', 'cannawetalk', 'repeal', 'decriminalize', 'reschedule']"
Tue Mar 06 18:22:41 +0000 2018,971088693221122049,#mentalhealth #mentalhealthawareness #wellness #invisibleillness #recovery #mentalillness #breakthestigma #selfcare… https://t.co/2Mulkh0l8d,carimensa,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['mentalhealth', 'mentalhealthawareness', 'wellness', 'invisibleillness', 'recovery', 'mentalillness', 'breakthestigma', 'selfcare']"
Tue Mar 06 18:21:41 +0000 2018,971088444851216394,#RT #pls #follow #Beauty #Skin #beautiful #Love #Hair #giveaway #Cosmetics #antiaging #deals #hot #news #lips #cute… https://t.co/wRm1Iy3aZe,aromacreams,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['RT', 'pls', 'follow', 'Beauty', 'Skin', 'beautiful', 'Love', 'Hair', 'giveaway', 'Cosmetics', 'antiaging', 'deals', 'hot', 'news', 'lips', 'cute']"
Tue Mar 06 18:19:08 +0000 2018,971087799532310528,Uncomplicated data forever #wellness. vigrx review forum https://t.co/XZcu8uQu32,dikucosa,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",['wellness']
Tue Mar 06 18:17:42 +0000 2018,971087441967898624,"""J'ai décidé d'être heureux dans mon métier"" @Nextdoor_fr Saint-Lazare On parle du rôle essentiel Du Chief Happines… https://t.co/VDeJlAk9kR",AimanMhl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[]
Tue Mar 06 18:13:34 +0000 2018,971086399398129666,#hudsonvalley #orangecounty #life #Makeadifference #cannawetalk #repeal #decriminalize #reschedule… https://t.co/zW1Bn3i2fe,cannawetalk42o,"<a href=""http://www.ripl.com"" rel=""nofollow"">Ripl App</a>","['hudsonvalley', 'orangecounty', 'life', 'Makeadifference', 'cannawetalk', 'repeal', 'decriminalize', 'reschedule']"
Tue Mar 06 18:10:02 +0000 2018,971085512915193856,#wellness #holisticliving #motivation #after40 https://t.co/lyJloWgiCh,PraiseWorks,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['wellness', 'holisticliving', 'motivation', 'after40']"
Tue Mar 06 18:07:27 +0000 2018,971084861577539584,#Butterfly #Wisdom #Trust #Privacy #Courage #Change #Abundance #Harmony #Peace #Patience #Savor #Joy #Beauty #Love… https://t.co/qyZ32BbJB5,ContactShirin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Butterfly', 'Wisdom', 'Trust', 'Privacy', 'Courage', 'Change', 'Abundance', 'Harmony', 'Peace', 'Patience', 'Savor', 'Joy', 'Beauty', 'Love']"
Tue Mar 06 18:06:05 +0000 2018,971084518445801472,#wellness #holisticliving #motivation #after40 https://t.co/GM2cCd4cGx,WellnessWoman40,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['wellness', 'holisticliving', 'motivation', 'after40']"
