created_at,id,text,user,source,hashtags
Tue Mar 06 23:01:01 +0000 2018,971158740241141761,"Meet Dr. Nunley.  
(https://t.co/qxI7yaMCrk)   

#Texas #NewBraunfels #Wellness https://t.co/5xNj8qB50T",AmandaNunley_MD,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['Texas', 'NewBraunfels', 'Wellness']"
Tue Mar 06 22:42:22 +0000 2018,971154044839489536,#ChallengeYourself #Wellness #Success https://t.co/CAoWsTsjbF,jameshicksmlm,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","['ChallengeYourself', 'Wellness', 'Success']"
Tue Mar 06 22:42:00 +0000 2018,971153954234163208,#Nature #LoveNature #Wellness #Quote https://t.co/NqNXL3QnpG,yychealthnut,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","['Nature', 'LoveNature', 'Wellness', 'Quote']"
Tue Mar 06 22:41:33 +0000 2018,971153841591693313,#Sunrider #SunriderInternational #sr #health #healthyliving #healthandwellness #wellness #healthychoices… https://t.co/xB6OtH8Ni2,sunrider,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Sunrider', 'SunriderInternational', 'sr', 'health', 'healthyliving', 'healthandwellness', 'wellness', 'healthychoices']"
Tue Mar 06 22:40:52 +0000 2018,971153667469578240,#coaching #mentoring #lifestyle #inspirational #relationships #business #businesscoaching #positivity #growth… https://t.co/qL4mzmzuoT,jazminewolf7,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","['coaching', 'mentoring', 'lifestyle', 'inspirational', 'relationships', 'business', 'businesscoaching', 'positivity', 'growth']"
Tue Mar 06 22:39:09 +0000 2018,971153236408315908,#femininehygiene #periodshappen #womenshealth #period #wellness #care #likeagirl #confidence… https://t.co/4Rx6dMT6eQ,beholdnatural,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['femininehygiene', 'periodshappen', 'womenshealth', 'period', 'wellness', 'care', 'likeagirl', 'confidence']"
Tue Mar 06 22:36:30 +0000 2018,971152568196960256,#wellness via https://t.co/Rvz4DK2gEw https://t.co/2dIF5WSlON,paigepadgett,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",['wellness']
Tue Mar 06 22:32:46 +0000 2018,971151632019984384,#health #fitness #workingout #cooking #politics #LawAndOrder #swimming #spinning #nutrition #recipe #wellness… https://t.co/NICZa3ZewE,zeeer04,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'fitness', 'workingout', 'cooking', 'politics', 'LawAndOrder', 'swimming', 'spinning', 'nutrition', 'recipe', 'wellness']"
Tue Mar 06 22:30:14 +0000 2018,971150993537806336,#TuesdayTip #Nutrition #Wellness https://t.co/YU4tNm8ygY,christineavanti,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","['TuesdayTip', 'Nutrition', 'Wellness']"
Tue Mar 06 22:25:55 +0000 2018,971149905472389120,"Neroli makes me... HAPPY!
🌱To get started using oils with Mónica, click below. 
💧Para começar a usar óleos essencia… https://t.co/vNysz5o4K8",evolutionmaker,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[]
Tue Mar 06 22:05:11 +0000 2018,971144689826050049,https://t.co/KBsAEjdIBW #mentalhealth #MensHealth #mentalillness #MentalHealthAwareness #wellness #YouHelpMeIHelpYou,YouHelpMeIHelp1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['mentalhealth', 'MensHealth', 'mentalillness', 'MentalHealthAwareness', 'wellness', 'YouHelpMeIHelpYou']"
Tue Mar 06 22:00:41 +0000 2018,971143555984121856,#TuesdayTrivia #Yoga #Meditation #Health #Wellness https://t.co/lxpUu84lay,SukhiYoga,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['TuesdayTrivia', 'Yoga', 'Meditation', 'Health', 'Wellness']"
Tue Mar 06 21:53:03 +0000 2018,971141636062433280,Inizia il tuo percorso di crescita personale e consapevolezza con il #PilatesEmozionale. ❤️ #pilates #fitness… https://t.co/CRrfRDRM17,PEmozionale,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['PilatesEmozionale', 'pilates', 'fitness']"
Tue Mar 06 21:51:12 +0000 2018,971141168535715840,#wellness #Wellbeing https://t.co/TDvSiv4qGg,ingebirds,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['wellness', 'Wellbeing']"
Tue Mar 06 21:39:16 +0000 2018,971138164722151425,"Acqua Lisboa City SPA 😍🥥🤸‍♀️

#choosethemoon #spa #Relax #Relaxation #Unwind #Escape #Wellness #SpaDay #Bubbles… https://t.co/32GqsNufrI",choosethemoon,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['choosethemoon', 'spa', 'Relax', 'Relaxation', 'Unwind', 'Escape', 'Wellness', 'SpaDay', 'Bubbles']"
Tue Mar 06 21:25:24 +0000 2018,971134675258257409,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/wECmbwqIFN,JeannettePTSDbp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 21:21:46 +0000 2018,971133762997235712,#Refleksoterapia czyli jak możesz uwolnić swoje stopy po ciężkim dniu https://t.co/iarJlylDw1 #foots #COSMETICS… https://t.co/8OGmJkybHC,TylkoStyl,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Refleksoterapia', 'foots', 'COSMETICS']"
Tue Mar 06 21:21:00 +0000 2018,971133568285016065,"#Angebot #Frühlingserwachen #wellness #mellishaarstudio
Das Angebot geht bis 27.4.2018¡ https://t.co/zFHddXreU6",JumpingMelli,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Angebot', 'Frühlingserwachen', 'wellness', 'mellishaarstudio']"
Tue Mar 06 21:18:18 +0000 2018,971132891714539520,☀️☀️☀️Wieder zu Hause 💪🏻💪🏻💪🏻Orrr..das war schön...wir haben ganz schön geschwitzt in der Sauna..dann gab es lecker… https://t.co/sqH8fXo3sx,Gluex_Keks,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
Tue Mar 06 21:15:16 +0000 2018,971132128296611840,#HeartHealth #HearthHealthyLiving #Wellness #LiveBetter #TuesdayTransformation https://t.co/ijdD2sO3bn,lesliepepper,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['HeartHealth', 'HearthHealthyLiving', 'Wellness', 'LiveBetter', 'TuesdayTransformation']"
Tue Mar 06 21:13:58 +0000 2018,971131798158704640,#arbonneessentials #arbonneuk #skincare #makeup #makeupideas #lovemakeup #makeuptutorial #everydaymakeup #base… https://t.co/WkgYE2rLaR,garland_lily,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['arbonneessentials', 'arbonneuk', 'skincare', 'makeup', 'makeupideas', 'lovemakeup', 'makeuptutorial', 'everydaymakeup', 'base']"
Tue Mar 06 21:03:51 +0000 2018,971129253059284993,"Piccoli oggetti, ma con grande significato 😍 #sorprese #playhard #wellness #me #smile #instafit… https://t.co/ZAQBhZiiEs",corsalec,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['sorprese', 'playhard', 'wellness', 'me', 'smile', 'instafit']"
Tue Mar 06 21:02:06 +0000 2018,971128814179844096,"Photo By Koll Hoffmann | Unsplash - via @Crowdfire  
 #healthyeating #wellness https://t.co/c5jgmraXGf",ChoppGeladoRJ,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","['healthyeating', 'wellness']"
Tue Mar 06 21:00:37 +0000 2018,971128441109123074,"Capacitate en #WELLNESS| Cursos, Instructorados y Certificaciones 
Inscripción Abierta en #Amici San Martín 1376, R… https://t.co/giOCzOH4Pt",AmiciRosario,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['WELLNESS', 'Amici']"
Tue Mar 06 20:58:26 +0000 2018,971127892720672769,"Lauschen, genießen, entspannen: ZEN-Massage- https://t.co/PP9V6KNAWj #beautyguide #geheimtipp #locationdesmonats #wellness #Wellness #Reise",WellSpaPortal,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","['beautyguide', 'geheimtipp', 'locationdesmonats', 'wellness', 'Wellness', 'Reise']"
Tue Mar 06 20:56:24 +0000 2018,971127380424216576,"Eerst en vooral, perfectie bestaat niet. Iedereen heeft wel een minpuntje. Maar wees je wel bewust van de gevaren e… https://t.co/KO4y2GrUjM",sauna_prive,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[]
Tue Mar 06 20:54:49 +0000 2018,971126981235527681,"#brain #Healing #Foods : #walnuts, #coconut, #avocado, #salmon, #bonebroth &amp; #olives. #health #wellness #nutrition… https://t.co/nmsDjm8klp",chaseitstraigh8,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['brain', 'Healing', 'Foods', 'walnuts', 'coconut', 'avocado', 'salmon', 'bonebroth', 'olives', 'health', 'wellness', 'nutrition']"
Tue Mar 06 20:39:29 +0000 2018,971123123083927552,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/ygj5nEaxTk,JeannettePTSDbp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
Tue Mar 06 20:38:47 +0000 2018,971122946730160128,#Mentalhealth #PTSD #Anxiety #recovery #bipolar2 #bipolar #wellness #recoveryisworthit #selfregulation #bpd… https://t.co/HIFO646gyZ,JeannettePTSDbp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Mentalhealth', 'PTSD', 'Anxiety', 'recovery', 'bipolar2', 'bipolar', 'wellness', 'recoveryisworthit', 'selfregulation', 'bpd']"
