created_at,id,lang,text,user,source,hashtags,url
Sun Mar 04 07:19:07 +0000 2018,970196926850392064,en,#health #beauty Buy Now: $32.6 Toilet Safety Grab Bar Handle Grip Frame Arm Rest Elderly Handicap Bathroom Help… https://t.co/RSUamcpM6w,health_anbeauty,"<a href=""https://www.postpilot.net/twitterapps/autotweetpal/"" rel=""nofollow"">AutoTweetPal</a>","['health', 'beauty']","[URL(URL=https://t.co/RSUamcpM6w, ExpandedURL=https://twitter.com/i/web/status/970196926850392064)]"
Sun Mar 04 07:19:01 +0000 2018,970196903454441472,en,"WHAT REALLY MAKES US HUMAN: #Meaning; Not #Possession
https://t.co/wMyqy5DKQV 
#creativity #depression… https://t.co/Xf0FWOz7SF",MassCreativity,"<a href=""https://social.zoho.com"" rel=""nofollow"">ZohoTwitterApp</a>","['Meaning', 'Possession', 'creativity', 'depression']","[URL(URL=https://t.co/wMyqy5DKQV, ExpandedURL=http://bit.ly/2kJ2Dt9), URL(URL=https://t.co/Xf0FWOz7SF, ExpandedURL=https://twitter.com/i/web/status/970196903454441472)]"
Sun Mar 04 07:18:55 +0000 2018,970196877776969733,en,"Microsoft proposes taking your HoloLens with you on your next date - https://t.co/mwAJmeWiv7
#Healthcare… https://t.co/lkASAPfjEh",TakeLeap,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",['Healthcare'],"[URL(URL=https://t.co/mwAJmeWiv7, ExpandedURL=https://mspoweruser.com/microsoft-proposes-taking-hololens-next-date/), URL(URL=https://t.co/lkASAPfjEh, ExpandedURL=https://twitter.com/i/web/status/970196877776969733)]"
Sun Mar 04 07:18:46 +0000 2018,970196837260021760,en,RT @SwachhKhunti: #SwachhBharatMission enroute to discard the evil effect on #health due to #OpenDefecation. #SwachhBharat #ZSBP #zsbp_jhar…,sbmkushinagar,"<a href=""https://digitalinspiration.com"" rel=""nofollow"">SwachhKushinagar</a>","['SwachhBharatMission', 'health', 'OpenDefecation', 'SwachhBharat', 'ZSBP', 'zsbp_jhar']",[]
Sun Mar 04 07:18:43 +0000 2018,970196825796939777,und,#FinlandEyeCenter #LASIK #PRK #phakicIOL #Oman #Muscat #Salalah #Sohar #EyeCare #Health #Vision #femtosecondLASIK… https://t.co/w3mQm1sabb,Finland_Eye_Cen,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['FinlandEyeCenter', 'LASIK', 'PRK', 'phakicIOL', 'Oman', 'Muscat', 'Salalah', 'Sohar', 'EyeCare', 'Health', 'Vision', 'femtosecondLASIK']","[URL(URL=https://t.co/w3mQm1sabb, ExpandedURL=https://twitter.com/i/web/status/970196825796939777)]"
Sun Mar 04 07:18:40 +0000 2018,970196813625118721,en,Your local #pharmacist can give you the #fluvaccine so why wait?  Make an #appointment today  #health #fluvirus… https://t.co/PX5LUYGUoG,ConefreyPharmac,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","['pharmacist', 'fluvaccine', 'appointment', 'health', 'fluvirus']","[URL(URL=https://t.co/PX5LUYGUoG, ExpandedURL=https://twitter.com/i/web/status/970196813625118721)]"
Sun Mar 04 07:18:34 +0000 2018,970196789939679232,en,Any #blogger or #SEO expert wants to Collaborate in #health blog.,blogging_pub,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['blogger', 'SEO', 'health']",[]
Sun Mar 04 07:18:13 +0000 2018,970196702605975553,en,RT @HealingMB: The best and worst foods .. for a healthy brain #Nutrition #Diet #BrainHealth #Wellness #Health https://t.co/Oci5YkKc1r,satsunoda41,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Nutrition', 'Diet', 'BrainHealth', 'Wellness', 'Health']",[]
Sun Mar 04 07:18:00 +0000 2018,970196646888841216,en,"RT @RiteshEconomist: #modicare - the devil lies in detail
India needs a supply-side response to prevent the looming #health crisis 
@Psm_cu…",GyanendrAw,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['modicare', 'health']",[]
Sun Mar 04 07:17:51 +0000 2018,970196609152704513,en,"The epidemic of obesity, diabetes and poor health sweeps the world. Physical activity is only one part of this solu… https://t.co/wS0DA04T9p",BubbleGlobal1,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[URL(URL=https://t.co/wS0DA04T9p, ExpandedURL=https://twitter.com/i/web/status/970196609152704513)]"
