created_at,id,lang,text,user,source,hashtags,url
Fri Feb 23 23:59:52 +0000 2018,967187283278487552,en,A new scale assessing doctor-patient #communication in a context of acute conditions based on a #systematicreview .… https://t.co/Gg44OtCJfK,paulsutcliffewe,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['communication', 'systematicreview']","[URL(URL=https://t.co/Gg44OtCJfK, ExpandedURL=https://twitter.com/i/web/status/967187283278487552)]"
Fri Feb 23 23:59:50 +0000 2018,967187276198502401,en,Do you have health issues you are dealing with? This quiz can help. https://t.co/cHTxJ01VcX #health #quiz,jjflizanes,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","['health', 'quiz']","[URL(URL=https://t.co/cHTxJ01VcX, ExpandedURL=http://whatblocksme.com)]"
Fri Feb 23 23:59:25 +0000 2018,967187170355220480,en,Come with me on my journey into alternative #cat #health! This time we're seeing an #animal communicator:… https://t.co/GaJdYl9y2F,CatMamasDotCom,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","['cat', 'health', 'animal']","[URL(URL=https://t.co/GaJdYl9y2F, ExpandedURL=https://twitter.com/i/web/status/967187170355220480)]"
Fri Feb 23 23:58:52 +0000 2018,967187033339789312,en,"5% - 10% discount at https://t.co/gV2gXZJbQa Use verified Code ADO1305
#Vitamins #Supplements #Beauty #BodyBuilding… https://t.co/wfgfzt9Ssv",00_Millionaires,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","['Vitamins', 'Supplements', 'Beauty', 'BodyBuilding']","[URL(URL=https://t.co/gV2gXZJbQa, ExpandedURL=http://iherb.com), URL(URL=https://t.co/wfgfzt9Ssv, ExpandedURL=https://twitter.com/i/web/status/967187033339789312)]"
Fri Feb 23 23:58:43 +0000 2018,967186992420261889,en,#health #beauty Buy Now: $45.65 Herbal barever permanent hair removal cream stop hair growth inhibitor remover… https://t.co/E11jBaZydr,health_anbeauty,"<a href=""https://www.postpilot.net/twitterapps/autotweetpal/"" rel=""nofollow"">AutoTweetPal</a>","['health', 'beauty']","[URL(URL=https://t.co/E11jBaZydr, ExpandedURL=https://twitter.com/i/web/status/967186992420261889)]"
Fri Feb 23 23:58:27 +0000 2018,967186926628323329,en,Have a healthy Tuesday! 🤗#livelovelebanon #lebanon #beirut #sustainability #recycling #recycle #reuse #reduce… https://t.co/G4VDgaNWYX,BCA_Industries,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['livelovelebanon', 'lebanon', 'beirut', 'sustainability', 'recycling', 'recycle', 'reuse', 'reduce']","[URL(URL=https://t.co/G4VDgaNWYX, ExpandedURL=https://twitter.com/i/web/status/967186926628323329)]"
Fri Feb 23 23:58:23 +0000 2018,967186910459449345,en,#PrayerRequest #please #pray I plead the blood of #Yeshua over EVERY member with integrity @JamaicaConstab &amp;… https://t.co/brQ8kxUYtU,Willpray_Foryou,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['PrayerRequest', 'please', 'pray', 'Yeshua']","[URL(URL=https://t.co/brQ8kxUYtU, ExpandedURL=https://twitter.com/i/web/status/967186910459449345)]"
Fri Feb 23 23:58:19 +0000 2018,967186894281900033,en,RT @HealingMB: Drinking water in the morning has been proven to have immense health benefits #Water #Nutrition #Health #Wellness https://t.…,gottobe2,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Water', 'Nutrition', 'Health', 'Wellness']",[]
Fri Feb 23 23:58:11 +0000 2018,967186860760952832,en,"Want a 5% discount at https://t.co/XIoPU0Q6uy ? ✏Use code AQU143 ✂
#Coupon #Supplements #Antiaging #WeightLoss… https://t.co/a2LvrHfu7g",Jane_Richardss,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","['Coupon', 'Supplements', 'Antiaging', 'WeightLoss']","[URL(URL=https://t.co/XIoPU0Q6uy, ExpandedURL=http://iherb.com), URL(URL=https://t.co/a2LvrHfu7g, ExpandedURL=https://twitter.com/i/web/status/967186860760952832)]"
Fri Feb 23 23:58:11 +0000 2018,967186860710690816,en,RT @CSIContinuingEd: Why #health workers are stacking credentials #collegeofstatenisland #workforce https://t.co/J4TRmxBu2T,jasmincardona11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['health', 'collegeofstatenisland', 'workforce']","[URL(URL=https://t.co/J4TRmxBu2T, ExpandedURL=http://ow.ly/Scpl30iqPF9)]"
