created_at,id,lang,text,user,source,hashtags,url
Tue Feb 20 23:59:57 +0000 2018,966100141731143680,en,RT @wef: Here's how the light from your #smartphone impacts your brain and body https://t.co/72U20zoBGQ #health https://t.co/jQT5ePGVj3,hes1995s,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='smartphone'), Hashtag(Text='health')]","[URL(URL=https://t.co/72U20zoBGQ, ExpandedURL=http://wef.ch/2ETYVGz)]"
Tue Feb 20 23:59:55 +0000 2018,966100131371089920,en,Eating at Red Lobster. #Uber gets you there 🆓 with  🆓 rides 🚗👌💖 &lt; Apply the code 😊👉UBER20COMP👈😊 &gt; #green #health #fitness #food,FreeRideCredit,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='Uber'), Hashtag(Text='green'), Hashtag(Text='health'), Hashtag(Text='fitness'), Hashtag(Text='food')]",[]
Tue Feb 20 23:59:53 +0000 2018,966100122999324672,en,RT @emailmejc2014: JUST GIVE IT YOUR MAX!!! #health #fitness #fit #socialenvy #PleaseForgiveMe #fitnessmodel #fitnessaddict #fitspo #workou…,flavolution,"<a href=""http://flaveshop.com"" rel=""nofollow"">Flav_Tweets</a>","[Hashtag(Text='health'), Hashtag(Text='fitness'), Hashtag(Text='fit'), Hashtag(Text='socialenvy'), Hashtag(Text='PleaseForgiveMe'), Hashtag(Text='fitnessmodel'), Hashtag(Text='fitnessaddict'), Hashtag(Text='fitspo')]",[]
Tue Feb 20 23:59:53 +0000 2018,966100122751844352,en,RT @wef: A new report says we should tax meat-eaters like smokers https://t.co/q2hTKpYZxW #health https://t.co/7pQZmcRgG2,alokaadi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/q2hTKpYZxW, ExpandedURL=http://wef.ch/2EEtX1I)]"
Tue Feb 20 23:59:47 +0000 2018,966100096994693120,de,Hercules Sägemann #Cellon #PocketComb - Made in Germany Hercules Sägemann https://t.co/OdYJj3P5bD via @amazon… https://t.co/6rvlTQnud1,montblue,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='Cellon'), Hashtag(Text='PocketComb')]","[URL(URL=https://t.co/OdYJj3P5bD, ExpandedURL=https://www.amazon.com/dp/B00UB8PVSW), URL(URL=https://t.co/6rvlTQnud1, ExpandedURL=https://twitter.com/i/web/status/966100096994693120)]"
Tue Feb 20 23:59:35 +0000 2018,966100047996837893,en,"This sweet potato does roids and hits on your girlfriend .
.
#health #healthy #healthyfood #fit #fitspo #fitness… https://t.co/X2RNTQGf34",teambrttne,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","[Hashtag(Text='health'), Hashtag(Text='healthy'), Hashtag(Text='healthyfood'), Hashtag(Text='fit'), Hashtag(Text='fitspo'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/X2RNTQGf34, ExpandedURL=https://twitter.com/i/web/status/966100047996837893)]"
Tue Feb 20 23:59:34 +0000 2018,966100043345391617,en,We are live at our #CaminezCommunity #Chiropractic Dinner! #Rockland #Health #Wellness https://t.co/hIa20ZErCr,Caminez_Chiro,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[Hashtag(Text='CaminezCommunity'), Hashtag(Text='Chiropractic'), Hashtag(Text='Rockland'), Hashtag(Text='Health'), Hashtag(Text='Wellness')]","[URL(URL=https://t.co/hIa20ZErCr, ExpandedURL=https://www.pscp.tv/w/bVtcSDFQbUtxZ2FvbHJrRW98MUx5R0JycFduTHpHTmJrJR3KPq3o1YMHnr642Wh23ohPbZa8mDRhS_drW5mZ)]"
Tue Feb 20 23:59:26 +0000 2018,966100011699392513,en,"@GSawision #Restaurant|s can #fail for many reasons.  One of those, @JonTaffer (of the @spike TV series @barrescue)… https://t.co/2fHTn5AAzw",davwain1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[Hashtag(Text='Restaurant'), Hashtag(Text='fail')]","[URL(URL=https://t.co/2fHTn5AAzw, ExpandedURL=https://twitter.com/i/web/status/966100011699392513)]"
Tue Feb 20 23:59:13 +0000 2018,966099958310096896,en,Study: $100B over six years led to 210 new FDA-approved medications - https://t.co/2ANs2xmVkB… https://t.co/OORInJ1fYh,Funding_Guide,"<a href=""http://www.dub.io"" rel=""nofollow"">Dub.io</a>",[],"[URL(URL=https://t.co/2ANs2xmVkB, ExpandedURL=http://UPI.com), URL(URL=https://t.co/OORInJ1fYh, ExpandedURL=https://twitter.com/i/web/status/966099958310096896)]"
Tue Feb 20 23:59:12 +0000 2018,966099952928620544,en,The Importance of #VitaminK to Your #Health. #VitaminD https://t.co/dIrLDxLA6b,VitD3Sue,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='VitaminK'), Hashtag(Text='Health'), Hashtag(Text='VitaminD')]","[URL(URL=https://t.co/dIrLDxLA6b, ExpandedURL=http://bit.ly/2BDb2Wi)]"
