created_at,id,lang,text,user,source,hashtags,url
Sun Feb 25 20:53:02 +0000 2018,967865040283099141,en,Psychologists think taking selfies all the time could be a sign of a mental illness https://t.co/pt3ljC5HUX #health https://t.co/JyYWT4pGxP,wef,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/pt3ljC5HUX, ExpandedURL=http://wef.ch/2EMDGXh)]"
Sun Feb 25 16:45:09 +0000 2018,967802660735856641,en,#BestOf: #Google has developed a way to predict your risk of a heart attack just by scanning your eye… https://t.co/nj4oe3SC8u,wef,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","[Hashtag(Text='BestOf'), Hashtag(Text='Google')]","[URL(URL=https://t.co/nj4oe3SC8u, ExpandedURL=https://twitter.com/i/web/status/967802660735856641)]"
Sun Feb 25 15:45:09 +0000 2018,967787559425335296,en,The biggest environmental threat to your #health? The air you breathe https://t.co/piSmm97Bib #environment https://t.co/Pz2AgBp3Ds,wef,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","[Hashtag(Text='health'), Hashtag(Text='environment')]","[URL(URL=https://t.co/piSmm97Bib, ExpandedURL=http://wef.ch/2GJbPEL)]"
Sun Feb 25 23:59:52 +0000 2018,967912058367959040,en,Heavy #drinking is the biggest risk factor for #dementia https://t.co/d7vfCZbzt1 vía @TIME #health,666MOP,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='drinking'), Hashtag(Text='dementia'), Hashtag(Text='health')]","[URL(URL=https://t.co/d7vfCZbzt1, ExpandedURL=http://ti.me/2EJxiNd)]"
Sun Feb 25 23:59:50 +0000 2018,967912051430608898,en,RT @StayYoungMedia: Things you never knew about your #bed! https://t.co/7YbfqU1nOh #health #sleep #night,svsmiuk,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='bed'), Hashtag(Text='health'), Hashtag(Text='sleep'), Hashtag(Text='night')]","[URL(URL=https://t.co/7YbfqU1nOh, ExpandedURL=http://traffic.libsyn.com/stayingyoung2/43.mp3)]"
Sun Feb 25 23:59:40 +0000 2018,967912009919418368,en,"America's #obesity crisis is unstoppable! Obesity caused by eating too much sugar, simple carbohydrates &amp; lack of… https://t.co/i61ZzeFJgU",LithiaWater,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[Hashtag(Text='obesity')],"[URL(URL=https://t.co/i61ZzeFJgU, ExpandedURL=https://twitter.com/i/web/status/967912009919418368)]"
Sun Feb 25 23:59:37 +0000 2018,967911994862039040,en,RT @wef: Psychologists think taking selfies all the time could be a sign of a mental illness https://t.co/pt3ljC5HUX #health https://t.co/J…,LMCCofficial,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/pt3ljC5HUX, ExpandedURL=http://wef.ch/2EMDGXh)]"
Sun Feb 25 23:59:14 +0000 2018,967911899999490049,en,Two easy ways to reduce the risk of #heartattack and heart failure: https://t.co/5XEBnqeKx9 #AmericanHeartMonth… https://t.co/knXUAYg7w9,Turmeric101,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>","[Hashtag(Text='heartattack'), Hashtag(Text='AmericanHeartMonth')]","[URL(URL=https://t.co/5XEBnqeKx9, ExpandedURL=http://cmun.it/hzgsilsh), URL(URL=https://t.co/knXUAYg7w9, ExpandedURL=https://twitter.com/i/web/status/967911899999490049)]"
Sun Feb 25 23:59:09 +0000 2018,967911880726597632,und,#doterra #slimandsassy #essentialoils #weightloss #health https://t.co/7Z3mxfdkZj via @eoilswithbetz,eoilswithbetz,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='doterra'), Hashtag(Text='slimandsassy'), Hashtag(Text='essentialoils'), Hashtag(Text='weightloss'), Hashtag(Text='health')]","[URL(URL=https://t.co/7Z3mxfdkZj, ExpandedURL=http://bit.ly/2zjkdJZ)]"
Sun Feb 25 23:59:08 +0000 2018,967911873755729920,en,Priority review for Shire’s HAE drug. #RareDisease #genetic #clinicaltrials #Medical #health https://t.co/ROM6l64nY5 https://t.co/NaOGQWtBsh,Drugdu,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","[Hashtag(Text='RareDisease'), Hashtag(Text='genetic'), Hashtag(Text='clinicaltrials'), Hashtag(Text='Medical'), Hashtag(Text='health')]","[URL(URL=https://t.co/ROM6l64nY5, ExpandedURL=https://buff.ly/2GHZelc)]"
